id,loan_amount,grade,purpose,home_ownership,income,dti,fico,loan_status
907360,15200.0,6,debt_consolidation,1,60000.0,27.14,670.0,1
513694,24000.0,7,home_improvement,1,123528.0,5.61,815.0,1
649088,25000.0,5,home_improvement,1,95000.0,9.55,670.0,1
264360,1500.0,7,home_improvement,0,29004.0,9.76,725.0,1
25548,3000.0,6,debt_consolidation,0,60000.0,16.66,675.0,0
636760,7000.0,5,debt_consolidation,1,57000.0,15.43,670.0,1
665725,4800.0,5,debt_consolidation,1,20500.0,17.68,660.0,1
1328188,21000.0,5,credit_card,1,84000.0,17.6,690.0,1
606731,3700.0,4,debt_consolidation,1,20800.0,34.16,685.0,1
452522,20000.0,4,debt_consolidation,0,104000.0,18.66,700.0,1
47867,6500.0,5,other,0,49000.0,22.7,680.0,1
1617179,24000.0,5,debt_consolidation,1,125000.0,4.1,665.0,1
64879,8400.0,6,debt_consolidation,1,45000.0,17.25,670.0,1
450270,35000.0,6,credit_card,1,137500.0,29.14,730.0,0
500792,18000.0,6,credit_card,1,70000.0,38.92,680.0,1
942932,35000.0,3,debt_consolidation,1,115000.0,11.58,685.0,0
634618,20000.0,6,debt_consolidation,1,125000.0,16.39,670.0,1
660760,20050.0,5,debt_consolidation,0,49000.0,25.96,680.0,0
983670,9000.0,7,car,1,78000.0,17.83,725.0,1
219802,5950.0,4,debt_consolidation,1,60000.0,11.7,665.0,1
112692,14000.0,5,debt_consolidation,1,170000.0,13.77,675.0,0
58097,6025.0,4,debt_consolidation,1,20340.0,21.47,670.0,1
1017055,2000.0,4,debt_consolidation,0,28500.0,4.34,685.0,1
822296,15000.0,5,debt_consolidation,1,137000.0,4.2,675.0,1
618858,5000.0,5,other,1,45000.0,3.09,680.0,1
900334,21000.0,6,debt_consolidation,1,80000.0,16.61,675.0,1
1414516,20175.0,7,debt_consolidation,1,92500.0,10.15,745.0,1
465745,30000.0,5,debt_consolidation,1,90000.0,22.89,670.0,1
1118309,8000.0,5,debt_consolidation,0,33000.0,31.82,665.0,0
552794,25000.0,5,debt_consolidation,1,62000.0,13.8,665.0,1
220870,9500.0,7,credit_card,1,59517.0,13.77,665.0,1
1339554,20000.0,7,debt_consolidation,1,109000.0,12.8,705.0,1
1166839,18000.0,6,debt_consolidation,1,70000.0,17.47,680.0,1
1134593,23650.0,2,debt_consolidation,1,49300.0,23.32,690.0,1
519600,16500.0,4,debt_consolidation,1,75000.0,21.04,665.0,0
1030455,7000.0,7,major_purchase,1,110000.0,13.14,810.0,1
49208,9800.0,7,home_improvement,1,195000.0,16.18,720.0,1
973068,15000.0,6,credit_card,1,85000.0,12.45,720.0,0
190951,2800.0,5,debt_consolidation,1,34000.0,28.8,665.0,1
961644,8000.0,7,credit_card,1,33020.0,23.31,720.0,1
1559104,26675.0,2,major_purchase,0,58000.0,6.7,735.0,1
326213,10000.0,7,debt_consolidation,0,56000.0,15.0,770.0,1
1466424,2000.0,6,debt_consolidation,0,42000.0,12.37,675.0,0
828346,10000.0,7,credit_card,0,64000.0,18.47,735.0,1
99116,10000.0,7,debt_consolidation,1,103000.0,12.68,755.0,1
241359,10000.0,7,small_business,1,187000.0,11.13,765.0,1
925340,8000.0,6,credit_card,1,65000.0,30.25,705.0,1
300134,15000.0,6,credit_card,0,150000.0,9.91,660.0,0
1079875,6000.0,5,credit_card,1,38000.0,24.86,690.0,1
674454,10225.0,3,debt_consolidation,1,20582.4,10.96,685.0,1
1559762,32500.0,2,debt_consolidation,1,65000.0,15.12,670.0,1
869203,3000.0,3,other,0,40000.0,24.36,675.0,1
14746,11000.0,7,debt_consolidation,1,99400.0,26.14,740.0,1
124417,12725.0,5,debt_consolidation,0,150000.0,7.94,675.0,1
898542,16375.0,3,debt_consolidation,1,62000.0,19.35,685.0,1
207535,5600.0,6,debt_consolidation,1,95000.0,16.71,695.0,1
917356,10000.0,5,debt_consolidation,0,50000.0,17.86,680.0,1
733496,10000.0,3,credit_card,1,62000.0,24.54,695.0,1
