,company_id,category_code,country_code,state_code,average_funded,total_rounds,average_participants,products_number,offices,acquired_companies,mba_degree,phd_degree,ms_degree,other_degree,ipo,is_acquired,is_closed,age,Success,number_degrees
12911,c:23911,cleantech,USA,other,93500000.0,7,3.0,,1.0,4.0,2.0,2.0,2.0,8.0,True,True,False,,1,14.0
12912,c:239113,,other,other,,1,1.0,,1.0,,,,,1.0,False,False,False,,0,
12913,c:239119,enterprise,other,other,,1,1.0,2.0,3.0,,,,,1.0,False,False,False,1645.0,0,
12914,c:23912,mobile,USA,California,2875000.0,4,0.75,5.0,1.0,,3.0,1.0,,8.0,False,False,False,2192.0,0,
12915,c:239123,photo_video,other,other,465000.0,1,1.0,,,,,1.0,,4.0,False,False,False,365.0,0,
12916,c:23913,mobile,other,other,,1,0.0,1.0,1.0,,,,,,False,False,False,1887.0,0,
12917,c:239132,network_hosting,USA,California,2632419.5,2,0.0,,1.0,,,,,,False,False,False,1096.0,0,
12918,c:23914,cleantech,USA,California,44500000.0,2,1.0,,1.0,,4.0,,,17.0,False,False,False,2557.0,0,
12919,c:239148,hardware,USA,other,2967600.5,2,0.0,,1.0,,,,,,False,False,False,4018.0,0,
12920,c:23915,ecommerce,other,other,,1,1.0,,1.0,,,,,,False,False,False,2557.0,0,
12921,c:239170,mobile,USA,California,250000.0,1,0.0,,1.0,,,,,,False,False,False,731.0,0,
12922,c:239172,games_video,USA,other,404964.5,2,0.5,,1.0,,,,,,False,False,False,731.0,0,
12923,c:239181,hardware,USA,other,21000.0,1,0.0,,1.0,,,,,,False,False,False,1096.0,0,
12924,c:239185,web,other,other,,1,1.0,,1.0,,,,,3.0,False,False,False,306.0,0,
12925,c:23919,ecommerce,other,other,126080.0,1,0.0,,1.0,,2.0,,,3.0,False,False,True,2140.0,0,
12926,c:239196,games_video,other,other,19260.0,1,1.0,,,,,,1.0,1.0,False,False,False,365.0,0,
12927,c:239198,biotech,USA,other,143578.0,1,0.0,,1.0,,,,,,False,False,False,1826.0,0,
12928,c:23920,software,other,other,50544.0,1,0.0,3.0,1.0,,,,,,False,False,False,2235.0,0,
12929,c:239202,biotech,USA,other,100000.0,1,0.0,,1.0,,,,,,False,False,False,731.0,0,
12930,c:239216,software,USA,other,454900.0,1,0.0,,1.0,,,,,,False,False,False,2192.0,0,
12931,c:239218,software,other,other,381000.0,1,0.0,,1.0,,,,,,False,False,False,,0,
12932,c:239219,software,other,other,842723.0,1,1.0,,1.0,,,,1.0,3.0,False,False,False,2912.0,0,
12933,c:239223,enterprise,other,other,194742.5,2,0.0,,2.0,,,,,5.0,False,False,False,1038.0,0,
12934,c:239224,software,other,other,128066.6667,3,0.3333,,1.0,,,,1.0,6.0,False,False,False,731.0,0,
12935,c:239267,biotech,USA,other,15000.0,1,0.0,,1.0,,,,,,False,True,False,,1,
12936,c:239269,biotech,USA,other,750816.0,1,0.0,,1.0,,,,,,False,False,False,1096.0,0,
