,company_id,category_code,country_code,state_code,average_funded,total_rounds,average_participants,products_number,offices,acquired_companies,mba_degree,phd_degree,ms_degree,other_degree,ipo,is_acquired,is_closed,age
10945,c:2226,web,other,other,4500000.0,2,1.5,1.0,1.0,1.0,,,,,False,True,False,1824.0
10946,c:222646,mobile,USA,other,1600000.0,1,0.0,,1.0,,,,,2.0,False,False,False,1096.0
10949,c:22269,enterprise,USA,California,,1,0.0,2.0,1.0,,,,,,False,False,False,2192.0
10950,c:2227,advertising,USA,California,2706250.0,4,1.75,2.0,1.0,,2.0,1.0,,11.0,False,False,False,2284.0
10962,c:222836,mobile,other,other,3500000.0,1,0.0,,1.0,,,,,1.0,False,False,False,1826.0
10967,c:222890,advertising,USA,California,987500.0,1,0.0,,1.0,,,,,2.0,False,False,False,1461.0
10969,c:22291,software,USA,other,2177500.0,2,1.5,4.0,1.0,,2.0,,,5.0,False,True,False,2004.0
10972,c:222949,news,other,other,5250000.0,2,0.5,,1.0,,,,,1.0,False,False,False,1826.0
10980,c:22303,nonprofit,other,other,349290.0,6,0.6667,3.0,,,2.0,1.0,2.0,14.0,False,False,False,2184.0
10982,c:22313,enterprise,USA,California,18500000.0,3,3.0,,1.0,,2.0,,3.0,3.0,False,False,False,1826.0
10988,c:22318,web,other,other,,2,0.5,1.0,,,,,,1.0,False,False,True,1826.0
10992,c:2232,advertising,USA,other,50000.0,1,0.0,,1.0,,,,,,False,False,False,2223.0
10999,c:223290,analytics,USA,other,1200000.0,1,0.0,,1.0,,,,,,False,False,False,1096.0
11000,c:223293,ecommerce,other,other,250000.0,1,1.0,,1.0,,,,,,False,False,False,1575.0
11003,c:223396,automotive,other,other,,1,1.0,,1.0,,,,,,False,False,False,1218.0
11004,c:2234,ecommerce,USA,California,4750000.0,2,2.5,1.0,1.0,,2.0,,,8.0,False,True,False,1331.0
11009,c:223437,software,USA,other,10438289.0,2,1.0,,1.0,,1.0,,,6.0,False,False,False,1096.0
11016,c:223529,biotech,other,other,2272877.0,1,2.0,,1.0,,,,,,False,False,False,1096.0
11017,c:22354,web,other,other,995625.0,1,3.0,1.0,1.0,,,,,,False,False,True,1945.0
11023,c:223677,biotech,other,other,4921544.5,2,0.0,,1.0,,,1.0,,,False,False,False,1461.0
11024,c:223678,hardware,USA,other,1000000.0,1,0.0,,1.0,,,,,,False,False,False,2192.0
11031,c:223709,semiconductor,USA,other,1000000.0,1,0.0,,1.0,,,,,,False,False,False,1826.0
11037,c:223742,biotech,USA,other,492500.0,2,0.0,,1.0,,,,,,False,False,False,2192.0
11040,c:223755,analytics,USA,other,1496893.5,2,0.0,,1.0,,,,,,False,False,False,1096.0
11042,c:223768,biotech,USA,other,188000.0,4,0.0,1.0,1.0,,,,,,False,False,False,1096.0
11043,c:223772,software,USA,other,1000000.0,1,0.0,,1.0,,,,,,False,False,False,1826.0
11044,c:223773,travel,USA,other,83745.0,1,0.0,,1.0,,,,,,False,False,False,1096.0
11046,c:223776,biotech,USA,other,187500.0,2,0.0,,1.0,,,,,,False,False,False,2192.0
11048,c:223784,analytics,USA,other,800000.0,1,0.0,,1.0,,,,,,False,False,False,1096.0
11052,c:22383,news,USA,other,1700000.0,1,8.0,,3.0,,1.0,,,1.0,False,False,False,2253.0
11053,c:223847,mobile,USA,other,312507.5,4,0.0,,1.0,,,,,,False,False,False,1478.0
11055,c:223901,software,USA,other,207500.0,2,1.5,,1.0,,1.0,1.0,,5.0,False,False,False,1461.0
11056,c:223902,hardware,USA,California,50000000.0,1,3.0,1.0,1.0,,,1.0,1.0,4.0,False,False,False,1457.0
11063,c:224075,ecommerce,other,other,1000000.0,1,1.0,,1.0,,,,,,False,False,False,1461.0
11067,c:224127,messaging,other,other,1000000.0,1,2.0,,1.0,,,,,,False,False,False,1461.0
11068,c:22413,enterprise,USA,California,12349999.3333,3,3.0,3.0,4.0,,2.0,,1.0,3.0,False,False,False,2526.0
11071,c:22421,finance,other,other,13541092.0,3,2.6667,,2.0,,1.0,,1.0,3.0,False,False,False,2009.0
11073,c:224229,health,USA,other,100000000.0,1,0.0,,1.0,,2.0,,1.0,3.0,False,False,False,1096.0
11075,c:22425,mobile,other,other,235800.0,1,0.0,,1.0,,,,,,False,False,True,1767.0
11078,c:2243,web,other,other,200000.0,1,0.0,1.0,1.0,,,,,,False,False,True,2345.0
11080,c:224308,legal,USA,other,10000000.0,1,3.0,,1.0,,,,,,False,False,False,2192.0
11082,c:224313,ecommerce,other,other,,4,1.75,,1.0,,,,,,False,False,False,1826.0
11088,c:224356,ecommerce,USA,other,540010.0,1,0.0,,1.0,,,,,,False,False,False,1461.0
11090,c:22437,enterprise,USA,California,800500.0,2,8.0,,1.0,,1.0,,2.0,6.0,False,False,False,1461.0
11091,c:2244,web,other,other,200000.0,1,1.0,,1.0,,,,1.0,1.0,False,False,False,2406.0
11092,c:224414,games_video,other,other,25000.0,2,0.5,1.0,1.0,,,1.0,1.0,,False,False,False,1188.0
11093,c:224436,ecommerce,USA,other,250000.0,1,1.0,,1.0,,,,,,False,False,False,1096.0
11095,c:224451,hospitality,other,other,757626.0,1,1.0,,1.0,,,,,,False,False,False,2192.0
11097,c:22449,web,other,other,100000.0,1,0.0,,3.0,,,,,,False,False,True,1837.0
